epsilon,qtable
"[1.0, 1.0, 1.0, 1.0]","[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.01, 0.01, 0.01, 0.01]","[0.8926720000000001,0.0,3.500723950004904,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.5671267627687713,4.6518533242879165,1.33152,-0.18625610465280007],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.009555189654942732, 0.01, 0.01, 0.008249228599091954]","[0.8926720000000001,0.0,3.54487569188999,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.658258484157758,4.6518533242879165,1.33152,-0.18900488372224006],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.009121581902604904, 0.01, 0.01, 0.008249228599091954]","[0.8926720000000001,0.0,3.580197085398059,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.658258484157758,4.6518533242879165,1.33152,-0.19120390697779208],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.008700824195107128, 0.01, 0.01, 0.006761714690274244]","[0.8926720000000001,0.0,3.608454200204514,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.6955860372386864,4.6518533242879165,1.33152,-0.1929631255822337],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.008294040097149919, 0.01, 0.01, 0.0061137772801284525]","[0.8926720000000001,0.0,3.6310598920496777,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.7049088212276797,4.6518533242879165,1.33152,-0.19437050046578697],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.007901943782597334, 0.01, 0.01, 0.0052513401111498725]","[0.8926720000000001,0.0,3.649144445525809,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.712996854270575,4.6518533242879165,1.33152,-0.19549640037262958],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.0075249311461549895, 0.01, 0.01, 0.004990894556881045]","[0.8926720000000001,0.0,3.663612088306714,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.714694015302527,4.6518533242879165,1.33152,-0.1963971202981037],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.0071631522312243755, 0.01, 0.01, 0.004069696083730105]","[0.8926720000000001,0.0,3.675186202531438,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.718702030795584,4.6518533242879165,1.33152,-0.19711769623848296],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.006816568733681153, 0.01, 0.01, 0.003866906436702241]","[0.8926720000000001,0.0,3.684445493911217,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.719258156522534,3.6814826594303334,1.33152,-0.19711769623848296],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.00665299929654996, 0.01, 0.01, 0.003859523165230394]","[0.8926720000000001,0.0,3.542637700172579,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.5704878302616327,2.9051861275442667,1.33152,-0.19711769623848296],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.006491910517428305, 0.01, 0.01, 0.003859523165230394]","[0.8926720000000001,0.0,3.4053882129799247,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.5704878302616327,2.2841489020354135,1.33152,-0.19711769623848296],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
